time,host_cpu_%,host_ram_%,gpu_mem_MB,gpu_util_%,docker
23:30:22,17.8,96.3,140,2,kafka=46.58%/496.8MiB / 4.804GiB ; elasticsearch=3.23%/1.533GiB / 4.804GiB ; zookeeper=0.12%/98.14MiB / 4.804GiB
23:30:27,24.1,96.4,140,2,kafka=0.80%/496.8MiB / 4.804GiB ; elasticsearch=3.79%/1.533GiB / 4.804GiB ; zookeeper=0.16%/98.14MiB / 4.804GiB
23:30:31,24.1,96.0,146,16,kafka=2.00%/497.3MiB / 4.804GiB ; elasticsearch=4.20%/1.533GiB / 4.804GiB ; zookeeper=0.31%/98.14MiB / 4.804GiB
23:30:36,31.2,96.4,166,2,kafka=1.01%/496.8MiB / 4.804GiB ; elasticsearch=3.87%/1.533GiB / 4.804GiB ; zookeeper=0.13%/98.14MiB / 4.804GiB
23:30:39,20.4,96.1,133,2,kafka=0.71%/496.8MiB / 4.804GiB ; elasticsearch=4.42%/1.533GiB / 4.804GiB ; zookeeper=0.13%/98.14MiB / 4.804GiB
23:30:44,20.7,96.1,133,2,kafka=136.09%/578.3MiB / 4.804GiB ; elasticsearch=4.19%/1.533GiB / 4.804GiB ; zookeeper=0.11%/98.14MiB / 4.804GiB
23:30:48,31.6,96.6,140,2,kafka=0.74%/496.8MiB / 4.804GiB ; elasticsearch=4.40%/1.533GiB / 4.804GiB ; zookeeper=0.19%/98.14MiB / 4.804GiB
23:30:52,23.0,96.1,140,2,kafka=0.90%/496.8MiB / 4.804GiB ; elasticsearch=3.92%/1.533GiB / 4.804GiB ; zookeeper=0.21%/98.14MiB / 4.804GiB
23:30:57,24.6,96.4,140,2,kafka=1.51%/497.2MiB / 4.804GiB ; elasticsearch=5.82%/1.533GiB / 4.804GiB ; zookeeper=0.96%/98.16MiB / 4.804GiB
23:31:01,22.7,95.9,133,1,kafka=0.91%/497.3MiB / 4.804GiB ; elasticsearch=3.80%/1.534GiB / 4.804GiB ; zookeeper=0.14%/98.14MiB / 4.804GiB
23:31:06,19.2,96.0,133,2,kafka=162.81%/577.9MiB / 4.804GiB ; elasticsearch=3.61%/1.533GiB / 4.804GiB ; zookeeper=0.72%/98.06MiB / 4.804GiB
23:31:09,29.9,96.2,133,1,kafka=0.89%/496.9MiB / 4.804GiB ; elasticsearch=3.23%/1.533GiB / 4.804GiB ; zookeeper=0.27%/98.06MiB / 4.804GiB
23:31:14,22.2,96.1,140,3,kafka=0.94%/496.9MiB / 4.804GiB ; elasticsearch=4.42%/1.534GiB / 4.804GiB ; zookeeper=0.14%/98.14MiB / 4.804GiB
23:31:18,23.9,96.2,140,1,kafka=43.63%/496.9MiB / 4.804GiB ; elasticsearch=3.62%/1.533GiB / 4.804GiB ; zookeeper=0.12%/98.14MiB / 4.804GiB
23:31:22,26.5,96.3,133,2,kafka=0.76%/498.6MiB / 4.804GiB ; elasticsearch=5.85%/1.534GiB / 4.804GiB ; zookeeper=0.12%/98.14MiB / 4.804GiB
23:31:27,17.7,96.4,133,2,kafka=9.96%/509.1MiB / 4.804GiB ; elasticsearch=5.87%/1.534GiB / 4.804GiB ; zookeeper=0.21%/98.14MiB / 4.804GiB
23:31:31,29.0,96.2,133,2,kafka=1.20%/498.6MiB / 4.804GiB ; elasticsearch=4.59%/1.534GiB / 4.804GiB ; zookeeper=0.11%/98.14MiB / 4.804GiB
23:31:36,19.6,96.2,140,2,kafka=0.94%/498.6MiB / 4.804GiB ; elasticsearch=5.56%/1.534GiB / 4.804GiB ; zookeeper=0.11%/98.14MiB / 4.804GiB
23:31:39,24.9,96.1,140,2,kafka=94.53%/498.6MiB / 4.804GiB ; elasticsearch=4.42%/1.534GiB / 4.804GiB ; zookeeper=0.12%/98.14MiB / 4.804GiB
23:31:44,26.1,96.1,140,2,kafka=0.88%/498.6MiB / 4.804GiB ; elasticsearch=5.42%/1.534GiB / 4.804GiB ; zookeeper=0.55%/98.14MiB / 4.804GiB
23:31:48,23.5,96.2,140,15,kafka=0.71%/498.6MiB / 4.804GiB ; elasticsearch=4.12%/1.534GiB / 4.804GiB ; zookeeper=0.58%/98.14MiB / 4.804GiB
23:31:52,34.2,96.3,140,2,kafka=1.58%/498.6MiB / 4.804GiB ; elasticsearch=3.80%/1.534GiB / 4.804GiB ; zookeeper=0.53%/98.14MiB / 4.804GiB
23:31:57,19.1,95.9,133,2,kafka=0.75%/498.6MiB / 4.804GiB ; elasticsearch=3.97%/1.534GiB / 4.804GiB ; zookeeper=0.13%/98.14MiB / 4.804GiB
23:32:01,19.5,95.8,133,2,kafka=186.40%/582.5MiB / 4.804GiB ; elasticsearch=3.60%/1.534GiB / 4.804GiB ; zookeeper=0.11%/98.14MiB / 4.804GiB
23:32:06,31.4,95.9,145,22,kafka=1.14%/498.6MiB / 4.804GiB ; elasticsearch=4.11%/1.534GiB / 4.804GiB ; zookeeper=0.57%/98.14MiB / 4.804GiB
23:32:09,22.1,96.0,140,2,kafka=0.93%/498.6MiB / 4.804GiB ; elasticsearch=4.48%/1.534GiB / 4.804GiB ; zookeeper=0.13%/98.14MiB / 4.804GiB
