node,pid,run_id,seq,topic,partition,offset,kafka_ts_ms,kafka_ts_type,t_recv_ms,infer_ms,es_ms,t_done_ms,label,confidence
WIX,4664,20260923-232815_p2_c2_r1,1,perf_20260923-232815_p2_c2_r1,1,0,1790198896883,0,1790198916595.439,824.593,371.592,1790198917792.628,Normal,0.9452
WIX,4664,20260923-232815_p2_c2_r1,3,perf_20260923-232815_p2_c2_r1,1,1,1790198896883,0,1790198917794.671,77.734,11.596,1790198917885.032,Normal,0.9685
WIX,4664,20260923-232815_p2_c2_r1,4,perf_20260923-232815_p2_c2_r1,1,2,1790198896883,0,1790198917886.026,75.574,45.118,1790198918007.716,Normal,0.9588
WIX,4664,20260923-232815_p2_c2_r1,7,perf_20260923-232815_p2_c2_r1,1,3,1790198896883,0,1790198918008.753,86.174,43.684,1790198918139.385,Normal,0.9439
WIX,4664,20260923-232815_p2_c2_r1,8,perf_20260923-232815_p2_c2_r1,1,4,1790198896883,0,1790198918140.388,39.022,49.592,1790198918229.993,Normal,0.8636
WIX,4664,20260923-232815_p2_c2_r1,9,perf_20260923-232815_p2_c2_r1,1,5,1790198896883,0,1790198918230.989,48.071,47.446,1790198918326.506,Normal,0.9297
WIX,4664,20260923-232815_p2_c2_r1,13,perf_20260923-232815_p2_c2_r1,1,6,1790198896883,0,1790198918327.5,89.566,45.941,1790198918464.031,Normal,0.9557
WIX,4664,20260923-232815_p2_c2_r1,14,perf_20260923-232815_p2_c2_r1,1,7,1790198896883,0,1790198918464.031,65.968,50.167,1790198918580.166,Normal,0.9029
WIX,4664,20260923-232815_p2_c2_r1,16,perf_20260923-232815_p2_c2_r1,1,8,1790198896883,0,1790198918580.166,36.021,45.933,1790198918663.129,Normal,0.9747
WIX,4664,20260923-232815_p2_c2_r1,19,perf_20260923-232815_p2_c2_r1,1,9,1790198896884,0,1790198918663.129,73.084,46.832,1790198918784.047,Normal,0.9675
WIX,4664,20260923-232815_p2_c2_r1,22,perf_20260923-232815_p2_c2_r1,1,10,1790198896884,0,1790198918784.047,163.172,46.638,1790198918994.856,Normal,0.9286
WIX,4664,20260923-232815_p2_c2_r1,24,perf_20260923-232815_p2_c2_r1,1,11,1790198896884,0,1790198918995.859,54.147,47.95,1790198919098.938,Normal,0.9411
WIX,4664,20260923-232815_p2_c2_r1,25,perf_20260923-232815_p2_c2_r1,1,12,1790198896884,0,1790198919098.938,53.887,46.526,1790198919199.9,Normal,0.6054
WIX,4664,20260923-232815_p2_c2_r1,28,perf_20260923-232815_p2_c2_r1,1,13,1790198896884,0,1790198919199.9,38.814,47.482,1790198919286.197,Normal,0.9447
WIX,4664,20260923-232815_p2_c2_r1,29,perf_20260923-232815_p2_c2_r1,1,14,1790198896884,0,1790198919287.199,75.77,47.215,1790198919411.183,Normal,0.9553
WIX,4664,20260923-232815_p2_c2_r1,30,perf_20260923-232815_p2_c2_r1,1,15,1790198896884,0,1790198919412.214,36.016,52.723,1790198919500.952,Normal,0.9605
WIX,4664,20260923-232815_p2_c2_r1,31,perf_20260923-232815_p2_c2_r1,1,16,1790198896884,0,1790198919500.952,159.892,51.63,1790198919712.981,HATE,0.5241
WIX,4664,20260923-232815_p2_c2_r1,32,perf_20260923-232815_p2_c2_r1,1,17,1790198896885,0,1790198919712.981,69.612,46.782,1790198919830.897,Normal,0.9683
WIX,4664,20260923-232815_p2_c2_r1,33,perf_20260923-232815_p2_c2_r1,1,18,1790198896885,0,1790198919830.897,90.429,46.814,1790198919969.141,Normal,0.9351
WIX,4664,20260923-232815_p2_c2_r1,35,perf_20260923-232815_p2_c2_r1,1,19,1790198896885,0,1790198919969.141,85.439,55.786,1790198920110.366,Normal,0.9791
WIX,4664,20260923-232815_p2_c2_r1,39,perf_20260923-232815_p2_c2_r1,1,20,1790198896885,0,1790198920110.366,58.865,47.989,1790198920217.779,Normal,0.9641
WIX,4664,20260923-232815_p2_c2_r1,40,perf_20260923-232815_p2_c2_r1,1,21,1790198896885,0,1790198920218.781,46.858,47.481,1790198920314.141,Normal,0.9018
WIX,4664,20260923-232815_p2_c2_r1,44,perf_20260923-232815_p2_c2_r1,1,22,1790198896887,0,1790198920314.141,53.184,52.912,1790198920421.235,Normal,0.8797
WIX,4664,20260923-232815_p2_c2_r1,46,perf_20260923-232815_p2_c2_r1,1,23,1790198896887,0,1790198920422.259,78.156,45.787,1790198920546.718,Normal,0.8951
WIX,4664,20260923-232815_p2_c2_r1,50,perf_20260923-232815_p2_c2_r1,1,24,1790198896887,0,1790198920546.718,88.074,48.245,1790198920684.032,Normal,0.9754
WIX,4664,20260923-232815_p2_c2_r1,53,perf_20260923-232815_p2_c2_r1,1,25,1790198896887,0,1790198920684.032,64.937,47.43,1790198920796.4,Normal,0.9739
WIX,4664,20260923-232815_p2_c2_r1,57,perf_20260923-232815_p2_c2_r1,1,26,1790198896887,0,1790198920796.4,65.474,50.314,1790198920912.731,Normal,0.5773
WIX,4664,20260923-232815_p2_c2_r1,59,perf_20260923-232815_p2_c2_r1,1,27,1790198896888,0,1790198920912.731,114.656,49.236,1790198921077.967,Normal,0.9787
WIX,4664,20260923-232815_p2_c2_r1,60,perf_20260923-232815_p2_c2_r1,1,28,1790198896888,0,1790198921078.538,53.246,49.49,1790198921182.352,Normal,0.5606
WIX,4664,20260923-232815_p2_c2_r1,64,perf_20260923-232815_p2_c2_r1,1,29,1790198896889,0,1790198921182.909,51.932,46.53,1790198921281.372,Normal,0.9683
