seq,partition,offset,kafka_ts_ms,t_call_ms
0,0,0,1790332080199,1790332080084.53
1,0,1,1790332080199,1790332080199.081
2,0,2,1790332080199,1790332080199.081
3,0,3,1790332080199,1790332080199.081
4,0,4,1790332080199,1790332080199.081
5,0,5,1790332080199,1790332080199.081
6,0,6,1790332080199,1790332080199.63
7,0,7,1790332080199,1790332080199.63
8,0,8,1790332080199,1790332080199.63
9,0,9,1790332080199,1790332080199.63
10,0,10,1790332080199,1790332080199.63
11,0,11,1790332080199,1790332080199.63
12,0,12,1790332080199,1790332080199.63
13,0,13,1790332080199,1790332080199.63
14,0,14,1790332080200,1790332080199.63
15,0,15,1790332080200,1790332080200.15
16,0,16,1790332080200,1790332080200.15
17,0,17,1790332080200,1790332080200.15
18,0,18,1790332080200,1790332080200.15
19,0,19,1790332080200,1790332080200.15
20,0,20,1790332080200,1790332080200.15
21,0,21,1790332080200,1790332080200.15
22,0,22,1790332080200,1790332080200.15
23,0,23,1790332080200,1790332080200.15
24,0,24,1790332080200,1790332080200.732
25,0,25,1790332080200,1790332080200.732
26,0,26,1790332080200,1790332080200.732
27,0,27,1790332080200,1790332080200.732
28,0,28,1790332080200,1790332080200.732
29,0,29,1790332080200,1790332080200.732
30,0,30,1790332080200,1790332080200.732
31,0,31,1790332080200,1790332080200.732
32,0,32,1790332080201,1790332080200.732
33,0,33,1790332080201,1790332080201.325
34,0,34,1790332080201,1790332080201.325
35,0,35,1790332080201,1790332080201.325
36,0,36,1790332080201,1790332080201.325
37,0,37,1790332080201,1790332080201.325
38,0,38,1790332080201,1790332080201.325
39,0,39,1790332080201,1790332080201.325
40,0,40,1790332080201,1790332080201.325
41,0,41,1790332080201,1790332080201.325
42,0,42,1790332080201,1790332080201.903
43,0,43,1790332080201,1790332080201.903
44,0,44,1790332080201,1790332080201.903
45,0,45,1790332080201,1790332080201.903
46,0,46,1790332080201,1790332080201.903
47,0,47,1790332080201,1790332080201.903
48,0,48,1790332080201,1790332080201.903
49,0,49,1790332080201,1790332080201.903
50,0,50,1790332080202,1790332080202.467
51,0,51,1790332080202,1790332080202.467
