node,pid,run_id,seq,topic,partition,offset,kafka_ts_ms,kafka_ts_type,t_recv_ms,infer_ms,es_ms,t_done_ms,label,confidence
WIX,4828,20260925-151752_p4_c4_r1,4,perf_20260925-151752_p4_c4_r1,1,0,1790342297497,0,1790342297543.685,837.856,596.715,1790342298980.253,OFFENSIVE,0.5445
WIX,4828,20260925-151752_p4_c4_r1,16,perf_20260925-151752_p4_c4_r1,1,1,1790342297921,0,1790342298985.27,72.124,7.52,1790342299065.911,Normal,0.9411
WIX,4828,20260925-151752_p4_c4_r1,24,perf_20260925-151752_p4_c4_r1,1,2,1790342298187,0,1790342299066.926,62.387,49.335,1790342299179.646,Normal,0.9018
WIX,4828,20260925-151752_p4_c4_r1,25,perf_20260925-151752_p4_c4_r1,1,3,1790342298219,0,1790342299179.646,75.665,46.935,1790342299302.245,OFFENSIVE,0.7321
WIX,4828,20260925-151752_p4_c4_r1,29,perf_20260925-151752_p4_c4_r1,1,4,1790342298360,0,1790342299303.239,89.682,46.165,1790342299439.638,Normal,0.8951
WIX,4828,20260925-151752_p4_c4_r1,40,perf_20260925-151752_p4_c4_r1,1,5,1790342298736,0,1790342299440.167,55.209,47.742,1790342299543.118,Normal,0.9362
WIX,4828,20260925-151752_p4_c4_r1,46,perf_20260925-151752_p4_c4_r1,1,6,1790342298957,0,1790342299544.123,62.434,45.911,1790342299653.475,Normal,0.9429
WIX,4828,20260925-151752_p4_c4_r1,57,perf_20260925-151752_p4_c4_r1,1,7,1790342299333,0,1790342299658.483,52.281,49.716,1790342299761.485,Normal,0.9608
WIX,4828,20260925-151752_p4_c4_r1,59,perf_20260925-151752_p4_c4_r1,1,8,1790342299395,0,1790342299761.485,55.211,44.43,1790342299862.126,Normal,0.8852
WIX,4828,20260925-151752_p4_c4_r1,65,perf_20260925-151752_p4_c4_r1,1,9,1790342299598,0,1790342299863.126,62.925,50.545,1790342299977.607,Normal,0.9137
WIX,4828,20260925-151752_p4_c4_r1,73,perf_20260925-151752_p4_c4_r1,1,10,1790342299881,0,1790342299981.143,53.366,45.946,1790342300081.467,Normal,0.8871
