time,host_cpu_%,host_ram_%,gpu_mem_MB,gpu_util_%,docker
13:07:34,15.0,72.8,524,29,kafka=110.85%/621.4MiB / 4.804GiB ; elasticsearch=2.95%/1.52GiB / 4.804GiB ; zookeeper=0.10%/95.19MiB / 4.804GiB
13:07:37,17.8,72.7,522,30,kafka=0.65%/546.7MiB / 4.804GiB ; elasticsearch=2.97%/1.52GiB / 4.804GiB ; zookeeper=0.55%/95.19MiB / 4.804GiB
13:07:42,14.1,72.7,523,29,kafka=0.76%/546.7MiB / 4.804GiB ; elasticsearch=3.00%/1.52GiB / 4.804GiB ; zookeeper=0.21%/95.19MiB / 4.804GiB
13:07:46,18.9,73.0,522,30,kafka=0.86%/546.7MiB / 4.804GiB ; elasticsearch=2.45%/1.52GiB / 4.804GiB ; zookeeper=0.14%/95.19MiB / 4.804GiB
13:07:50,14.7,72.8,522,32,kafka=0.75%/547.5MiB / 4.804GiB ; elasticsearch=2.66%/1.52GiB / 4.804GiB ; zookeeper=0.10%/95.19MiB / 4.804GiB
13:07:55,12.1,72.8,522,31,kafka=174.61%/620.5MiB / 4.804GiB ; elasticsearch=2.61%/1.52GiB / 4.804GiB ; zookeeper=0.11%/95.19MiB / 4.804GiB
13:07:59,21.2,72.9,526,30,kafka=0.65%/547.5MiB / 4.804GiB ; elasticsearch=2.75%/1.52GiB / 4.804GiB ; zookeeper=0.08%/95.19MiB / 4.804GiB
13:08:04,12.1,72.9,526,29,kafka=0.89%/547.5MiB / 4.804GiB ; elasticsearch=3.38%/1.52GiB / 4.804GiB ; zookeeper=0.26%/95.2MiB / 4.804GiB
13:08:07,20.6,72.8,524,29,kafka=0.95%/547.6MiB / 4.804GiB ; elasticsearch=3.11%/1.52GiB / 4.804GiB ; zookeeper=0.13%/95.2MiB / 4.804GiB
13:08:12,13.1,72.8,524,28,kafka=0.91%/547.6MiB / 4.804GiB ; elasticsearch=2.92%/1.52GiB / 4.804GiB ; zookeeper=0.12%/95.2MiB / 4.804GiB
13:08:16,13.3,73.0,523,29,kafka=149.07%/622.2MiB / 4.804GiB ; elasticsearch=2.38%/1.52GiB / 4.804GiB ; zookeeper=0.10%/95.2MiB / 4.804GiB
13:08:20,23.9,72.7,522,32,kafka=0.53%/547.6MiB / 4.804GiB ; elasticsearch=2.68%/1.52GiB / 4.804GiB ; zookeeper=0.43%/95.2MiB / 4.804GiB
13:08:25,12.2,72.7,517,27,kafka=0.84%/547.6MiB / 4.804GiB ; elasticsearch=2.41%/1.52GiB / 4.804GiB ; zookeeper=0.61%/95.2MiB / 4.804GiB
13:08:29,23.7,72.7,526,29,kafka=0.51%/547.6MiB / 4.804GiB ; elasticsearch=3.13%/1.52GiB / 4.804GiB ; zookeeper=0.52%/95.2MiB / 4.804GiB
13:08:34,13.6,72.7,526,33,kafka=0.70%/547.6MiB / 4.804GiB ; elasticsearch=2.92%/1.52GiB / 4.804GiB ; zookeeper=0.47%/95.2MiB / 4.804GiB
13:08:37,14.4,72.3,522,28,kafka=140.57%/621.3MiB / 4.804GiB ; elasticsearch=2.15%/1.52GiB / 4.804GiB ; zookeeper=0.43%/95.2MiB / 4.804GiB
13:08:42,21.4,72.7,522,28,kafka=0.68%/547.6MiB / 4.804GiB ; elasticsearch=2.56%/1.52GiB / 4.804GiB ; zookeeper=0.21%/95.19MiB / 4.804GiB
13:08:46,10.9,72.9,521,28,kafka=0.79%/547.6MiB / 4.804GiB ; elasticsearch=4.43%/1.52GiB / 4.804GiB ; zookeeper=0.12%/95.2MiB / 4.804GiB
13:08:50,24.4,72.7,522,33,kafka=0.64%/547.6MiB / 4.804GiB ; elasticsearch=2.54%/1.52GiB / 4.804GiB ; zookeeper=0.12%/95.19MiB / 4.804GiB
13:08:55,11.0,72.7,522,28,kafka=0.77%/547.6MiB / 4.804GiB ; elasticsearch=2.64%/1.52GiB / 4.804GiB ; zookeeper=0.10%/95.2MiB / 4.804GiB
13:08:59,13.7,72.7,523,31,kafka=80.90%/547.7MiB / 4.804GiB ; elasticsearch=2.91%/1.52GiB / 4.804GiB ; zookeeper=0.16%/95.19MiB / 4.804GiB
13:09:04,18.0,72.7,524,29,kafka=0.77%/547.6MiB / 4.804GiB ; elasticsearch=8.40%/1.52GiB / 4.804GiB ; zookeeper=0.12%/95.2MiB / 4.804GiB
13:09:07,13.2,72.5,523,29,kafka=0.89%/547.6MiB / 4.804GiB ; elasticsearch=4.96%/1.52GiB / 4.804GiB ; zookeeper=0.11%/95.2MiB / 4.804GiB
13:09:12,21.8,72.6,523,28,kafka=0.55%/547.6MiB / 4.804GiB ; elasticsearch=2.61%/1.52GiB / 4.804GiB ; zookeeper=0.11%/95.2MiB / 4.804GiB
13:09:16,14.2,72.8,520,32,kafka=0.72%/547.6MiB / 4.804GiB ; elasticsearch=2.69%/1.52GiB / 4.804GiB ; zookeeper=0.11%/95.19MiB / 4.804GiB
13:09:20,18.2,72.6,526,33,kafka=35.62%/575.3MiB / 4.804GiB ; elasticsearch=2.64%/1.52GiB / 4.804GiB ; zookeeper=0.43%/95.19MiB / 4.804GiB
13:09:25,19.2,72.7,525,28,kafka=0.55%/547.3MiB / 4.804GiB ; elasticsearch=3.65%/1.52GiB / 4.804GiB ; zookeeper=0.10%/95.18MiB / 4.804GiB
13:09:29,16.6,72.8,522,32,kafka=0.56%/547.3MiB / 4.804GiB ; elasticsearch=2.53%/1.52GiB / 4.804GiB ; zookeeper=0.09%/95.19MiB / 4.804GiB
13:09:34,19.8,72.8,523,30,kafka=0.87%/547.3MiB / 4.804GiB ; elasticsearch=2.53%/1.52GiB / 4.804GiB ; zookeeper=0.10%/95.19MiB / 4.804GiB
13:09:37,14.2,72.6,520,33,kafka=0.70%/547.4MiB / 4.804GiB ; elasticsearch=2.56%/1.52GiB / 4.804GiB ; zookeeper=0.19%/95.2MiB / 4.804GiB
13:09:42,13.3,72.6,522,34,kafka=84.02%/587.2MiB / 4.804GiB ; elasticsearch=4.42%/1.52GiB / 4.804GiB ; zookeeper=0.09%/95.2MiB / 4.804GiB
13:09:46,19.0,73.0,521,28,kafka=0.78%/547.5MiB / 4.804GiB ; elasticsearch=2.46%/1.52GiB / 4.804GiB ; zookeeper=0.12%/95.2MiB / 4.804GiB
13:09:50,14.8,72.8,523,34,kafka=0.58%/547.5MiB / 4.804GiB ; elasticsearch=4.00%/1.52GiB / 4.804GiB ; zookeeper=0.11%/95.2MiB / 4.804GiB
13:09:55,17.3,72.9,523,30,kafka=0.96%/548.3MiB / 4.804GiB ; elasticsearch=2.66%/1.52GiB / 4.804GiB ; zookeeper=0.18%/95.2MiB / 4.804GiB
13:09:59,14.5,72.9,524,31,kafka=0.96%/548.3MiB / 4.804GiB ; elasticsearch=2.34%/1.52GiB / 4.804GiB ; zookeeper=0.11%/95.2MiB / 4.804GiB
13:10:04,13.8,72.9,526,29,kafka=133.73%/603.9MiB / 4.804GiB ; elasticsearch=2.06%/1.52GiB / 4.804GiB ; zookeeper=0.11%/95.2MiB / 4.804GiB
13:10:07,19.5,72.7,525,29,kafka=0.76%/548.4MiB / 4.804GiB ; elasticsearch=2.62%/1.52GiB / 4.804GiB ; zookeeper=0.11%/95.2MiB / 4.804GiB
13:10:12,13.2,72.8,524,29,kafka=0.89%/548.4MiB / 4.804GiB ; elasticsearch=2.55%/1.521GiB / 4.804GiB ; zookeeper=0.73%/95.2MiB / 4.804GiB
13:10:16,18.4,73.0,522,31,kafka=0.78%/548.4MiB / 4.804GiB ; elasticsearch=2.52%/1.52GiB / 4.804GiB ; zookeeper=0.61%/95.21MiB / 4.804GiB
13:10:20,18.9,72.8,524,29,kafka=0.62%/548.4MiB / 4.804GiB ; elasticsearch=3.10%/1.521GiB / 4.804GiB ; zookeeper=0.11%/95.21MiB / 4.804GiB
13:10:25,10.4,72.8,522,29,kafka=187.59%/627.9MiB / 4.804GiB ; elasticsearch=2.51%/1.52GiB / 4.804GiB ; zookeeper=0.11%/95.2MiB / 4.804GiB
13:10:29,20.5,72.8,526,31,kafka=1.00%/548.4MiB / 4.804GiB ; elasticsearch=2.28%/1.521GiB / 4.804GiB ; zookeeper=0.48%/95.2MiB / 4.804GiB
13:10:34,11.5,72.8,525,28,kafka=0.69%/548.4MiB / 4.804GiB ; elasticsearch=2.61%/1.521GiB / 4.804GiB ; zookeeper=0.23%/95.45MiB / 4.804GiB
