node,pid,run_id,seq,topic,partition,offset,kafka_ts_ms,kafka_ts_type,t_recv_ms,infer_ms,es_ms,t_done_ms,label,confidence
WIX,15860,20260923-231157_p1_c1_r3,0,perf_20260923-231157_p1_c1_r3,0,0,1790197918961,0,1790197938261.05,764.991,252.385,1790197939278.988,Normal,0.9501
WIX,15860,20260923-231157_p1_c1_r3,1,perf_20260923-231157_p1_c1_r3,0,1,1790197918961,0,1790197939278.988,45.368,8.188,1790197939333.104,Normal,0.9452
WIX,15860,20260923-231157_p1_c1_r3,2,perf_20260923-231157_p1_c1_r3,0,2,1790197918961,0,1790197939333.104,36.971,46.595,1790197939416.67,Normal,0.9403
WIX,15860,20260923-231157_p1_c1_r3,3,perf_20260923-231157_p1_c1_r3,0,3,1790197918961,0,1790197939416.67,35.251,45.284,1790197939497.205,Normal,0.9685
WIX,15860,20260923-231157_p1_c1_r3,4,perf_20260923-231157_p1_c1_r3,0,4,1790197918961,0,1790197939498.21,33.377,47.257,1790197939579.841,Normal,0.9588
WIX,15860,20260923-231157_p1_c1_r3,5,perf_20260923-231157_p1_c1_r3,0,5,1790197918961,0,1790197939580.394,40.232,47.779,1790197939669.415,OFFENSIVE,0.5445
WIX,15860,20260923-231157_p1_c1_r3,6,perf_20260923-231157_p1_c1_r3,0,6,1790197918961,0,1790197939670.419,47.388,49.33,1790197939767.136,Normal,0.9157
WIX,15860,20260923-231157_p1_c1_r3,7,perf_20260923-231157_p1_c1_r3,0,7,1790197918961,0,1790197939767.136,62.108,48.178,1790197939878.412,Normal,0.9439
WIX,15860,20260923-231157_p1_c1_r3,8,perf_20260923-231157_p1_c1_r3,0,8,1790197918961,0,1790197939879.416,41.698,50.018,1790197939971.132,Normal,0.8636
WIX,15860,20260923-231157_p1_c1_r3,9,perf_20260923-231157_p1_c1_r3,0,9,1790197918961,0,1790197939972.134,37.542,48.679,1790197940059.351,Normal,0.9297
WIX,15860,20260923-231157_p1_c1_r3,10,perf_20260923-231157_p1_c1_r3,0,10,1790197918961,0,1790197940060.347,47.004,49.164,1790197940156.515,Normal,0.8199
WIX,15860,20260923-231157_p1_c1_r3,11,perf_20260923-231157_p1_c1_r3,0,11,1790197918961,0,1790197940157.517,51.656,49.982,1790197940259.703,OFFENSIVE,0.6827
WIX,15860,20260923-231157_p1_c1_r3,12,perf_20260923-231157_p1_c1_r3,0,12,1790197918961,0,1790197940259.703,33.751,46.294,1790197940340.738,Normal,0.9532
WIX,15860,20260923-231157_p1_c1_r3,13,perf_20260923-231157_p1_c1_r3,0,13,1790197918962,0,1790197940341.735,80.132,46.953,1790197940469.335,Normal,0.9557
WIX,15860,20260923-231157_p1_c1_r3,14,perf_20260923-231157_p1_c1_r3,0,14,1790197918962,0,1790197940470.325,37.823,49.061,1790197940557.811,Normal,0.9029
WIX,15860,20260923-231157_p1_c1_r3,15,perf_20260923-231157_p1_c1_r3,0,15,1790197918962,0,1790197940557.811,38.274,46.768,1790197940643.841,Normal,0.7288
WIX,15860,20260923-231157_p1_c1_r3,16,perf_20260923-231157_p1_c1_r3,0,16,1790197918962,0,1790197940644.355,36.585,50.647,1790197940732.678,Normal,0.9747
WIX,15860,20260923-231157_p1_c1_r3,17,perf_20260923-231157_p1_c1_r3,0,17,1790197918962,0,1790197940732.678,37.972,48.398,1790197940819.87,Normal,0.9669
WIX,15860,20260923-231157_p1_c1_r3,18,perf_20260923-231157_p1_c1_r3,0,18,1790197918962,0,1790197940819.87,30.317,45.756,1790197940895.944,Normal,0.9406
