node,pid,run_id,seq,topic,partition,offset,kafka_ts_ms,kafka_ts_type,t_recv_ms,infer_ms,es_ms,t_done_ms,label,confidence
WIX,16640,20260923-234455_p2_c2_r3,65,perf_20260923-234455_p2_c2_r3,1,30,1790199896588,0,1790199930933.188,39.29,46.361,1790199931018.839,Normal,0.963
WIX,16640,20260923-234455_p2_c2_r3,66,perf_20260923-234455_p2_c2_r3,1,31,1790199896588,0,1790199931018.839,36.451,46.023,1790199931102.328,Normal,0.9297
WIX,16640,20260923-234455_p2_c2_r3,70,perf_20260923-234455_p2_c2_r3,1,32,1790199896589,0,1790199931103.327,32.655,46.036,1790199931182.989,Normal,0.9656
WIX,16640,20260923-234455_p2_c2_r3,71,perf_20260923-234455_p2_c2_r3,1,33,1790199896589,0,1790199931182.989,55.325,45.834,1790199931284.147,Normal,0.9162
WIX,16640,20260923-234455_p2_c2_r3,73,perf_20260923-234455_p2_c2_r3,1,34,1790199896589,0,1790199931284.147,63.169,50.84,1790199931398.661,Normal,0.9591
WIX,16640,20260923-234455_p2_c2_r3,75,perf_20260923-234455_p2_c2_r3,1,35,1790199896589,0,1790199931398.661,39.235,45.285,1790199931484.177,Normal,0.8729
WIX,16640,20260923-234455_p2_c2_r3,77,perf_20260923-234455_p2_c2_r3,1,36,1790199896589,0,1790199931484.177,40.744,54.76,1790199931579.681,OFFENSIVE,0.8247
WIX,16640,20260923-234455_p2_c2_r3,78,perf_20260923-234455_p2_c2_r3,1,37,1790199896589,0,1790199931579.681,55.053,43.362,1790199931679.09,Normal,0.9429
WIX,16640,20260923-234455_p2_c2_r3,79,perf_20260923-234455_p2_c2_r3,1,38,1790199896590,0,1790199931680.089,46.309,48.484,1790199931775.885,Normal,0.9619
WIX,16640,20260923-234455_p2_c2_r3,80,perf_20260923-234455_p2_c2_r3,1,39,1790199896590,0,1790199931776.889,58.436,43.784,1790199931879.11,Normal,0.4294
WIX,16640,20260923-234455_p2_c2_r3,81,perf_20260923-234455_p2_c2_r3,1,40,1790199896590,0,1790199931879.11,74.567,46.45,1790199932001.124,OFFENSIVE,0.7918
WIX,16640,20260923-234455_p2_c2_r3,84,perf_20260923-234455_p2_c2_r3,1,41,1790199896590,0,1790199932002.145,50.818,43.747,1790199932096.711,Normal,0.9755
WIX,16640,20260923-234455_p2_c2_r3,87,perf_20260923-234455_p2_c2_r3,1,42,1790199896590,0,1790199932096.711,49.245,51.083,1790199932197.039,Normal,0.9689
WIX,16640,20260923-234455_p2_c2_r3,88,perf_20260923-234455_p2_c2_r3,1,43,1790199896590,0,1790199932197.039,78.795,45.911,1790199932321.745,OFFENSIVE,0.9318
WIX,16640,20260923-234455_p2_c2_r3,90,perf_20260923-234455_p2_c2_r3,1,44,1790199896590,0,1790199932322.747,44.066,48.069,1790199932414.881,Normal,0.9375
WIX,16640,20260923-234455_p2_c2_r3,92,perf_20260923-234455_p2_c2_r3,1,45,1790199896590,0,1790199932415.881,49.46,43.554,1790199932509.463,Normal,0.9115
WIX,16640,20260923-234455_p2_c2_r3,96,perf_20260923-234455_p2_c2_r3,1,46,1790199896590,0,1790199932509.463,48.486,50.634,1790199932608.583,OFFENSIVE,0.8992
WIX,16640,20260923-234455_p2_c2_r3,97,perf_20260923-234455_p2_c2_r3,1,47,1790199896590,0,1790199932608.583,61.694,48.616,1790199932719.908,Normal,0.8164
WIX,16640,20260923-234455_p2_c2_r3,99,perf_20260923-234455_p2_c2_r3,1,48,1790199896590,0,1790199932719.908,41.076,47.545,1790199932808.53,Normal,0.909
WIX,16640,20260923-234455_p2_c2_r3,100,perf_20260923-234455_p2_c2_r3,1,49,1790199896591,0,1790199932809.514,36.983,49.679,1790199932896.176,Normal,0.9603
WIX,16640,20260923-234455_p2_c2_r3,102,perf_20260923-234455_p2_c2_r3,1,50,1790199896591,0,1790199932896.176,48.649,43.941,1790199932989.763,HATE,0.6385
WIX,16640,20260923-234455_p2_c2_r3,104,perf_20260923-234455_p2_c2_r3,1,51,1790199896591,0,1790199932990.759,42.723,44.944,1790199933078.426,OFFENSIVE,0.3516
WIX,16640,20260923-234455_p2_c2_r3,105,perf_20260923-234455_p2_c2_r3,1,52,1790199896591,0,1790199933079.455,48.377,46.684,1790199933175.152,Normal,0.9736
WIX,16640,20260923-234455_p2_c2_r3,107,perf_20260923-234455_p2_c2_r3,1,53,1790199896591,0,1790199933175.152,38.715,45.972,1790199933260.748,Normal,0.9703
WIX,16640,20260923-234455_p2_c2_r3,108,perf_20260923-234455_p2_c2_r3,1,54,1790199896591,0,1790199933260.748,35.179,44.056,1790199933341.069,Normal,0.9137
WIX,16640,20260923-234455_p2_c2_r3,109,perf_20260923-234455_p2_c2_r3,1,55,1790199896591,0,1790199933341.608,38.5,50.423,1790199933430.531,Normal,0.9608
WIX,16640,20260923-234455_p2_c2_r3,112,perf_20260923-234455_p2_c2_r3,1,56,1790199896591,0,1790199933431.056,33.404,47.037,1790199933511.498,Normal,0.8386
WIX,16640,20260923-234455_p2_c2_r3,114,perf_20260923-234455_p2_c2_r3,1,57,1790199896592,0,1790199933512.498,40.371,46.798,1790199933600.666,Normal,0.9496
WIX,16640,20260923-234455_p2_c2_r3,115,perf_20260923-234455_p2_c2_r3,1,58,1790199896592,0,1790199933601.662,53.164,52.52,1790199933708.311,Normal,0.9602
WIX,16640,20260923-234455_p2_c2_r3,117,perf_20260923-234455_p2_c2_r3,1,59,1790199896592,0,1790199933708.311,38.872,45.419,1790199933792.602,Normal,0.9592
WIX,16640,20260923-234455_p2_c2_r3,119,perf_20260923-234455_p2_c2_r3,1,60,1790199896592,0,1790199933792.602,32.058,49.917,1790199933875.568,Normal,0.9569
WIX,16640,20260923-234455_p2_c2_r3,120,perf_20260923-234455_p2_c2_r3,1,61,1790199896592,0,1790199933876.621,54.947,45.779,1790199933977.347,Normal,0.9646
WIX,16640,20260923-234455_p2_c2_r3,123,perf_20260923-234455_p2_c2_r3,1,62,1790199896593,0,1790199933978.377,51.814,46.067,1790199934076.258,OFFENSIVE,0.9503
WIX,16640,20260923-234455_p2_c2_r3,126,perf_20260923-234455_p2_c2_r3,1,63,1790199896593,0,1790199934077.257,37.099,46.276,1790199934161.0,Normal,0.8098
WIX,16640,20260923-234455_p2_c2_r3,127,perf_20260923-234455_p2_c2_r3,1,64,1790199896593,0,1790199934161.0,43.355,49.469,1790199934253.825,Normal,0.9559
WIX,16640,20260923-234455_p2_c2_r3,128,perf_20260923-234455_p2_c2_r3,1,65,1790199896593,0,1790199934253.825,67.809,46.694,1790199934368.328,Normal,0.9757
WIX,16640,20260923-234455_p2_c2_r3,132,perf_20260923-234455_p2_c2_r3,1,66,1790199896593,0,1790199934368.328,82.88,45.71,1790199934496.919,Normal,0.8913
WIX,16640,20260923-234455_p2_c2_r3,133,perf_20260923-234455_p2_c2_r3,1,67,1790199896593,0,1790199934497.924,44.585,44.71,1790199934588.244,Normal,0.797
WIX,16640,20260923-234455_p2_c2_r3,141,perf_20260923-234455_p2_c2_r3,1,68,1790199896610,0,1790199934588.778,29.73,47.996,1790199934666.503,Normal,0.8146
WIX,16640,20260923-234455_p2_c2_r3,142,perf_20260923-234455_p2_c2_r3,1,69,1790199896610,0,1790199934666.503,33.424,44.558,1790199934744.484,Normal,0.9526
WIX,16640,20260923-234455_p2_c2_r3,143,perf_20260923-234455_p2_c2_r3,1,70,1790199896610,0,1790199934744.484,27.997,45.866,1790199934819.612,Normal,0.7611
WIX,16640,20260923-234455_p2_c2_r3,153,perf_20260923-234455_p2_c2_r3,1,71,1790199896611,0,1790199934819.612,36.048,45.551,1790199934901.734,Normal,0.8867
WIX,16640,20260923-234455_p2_c2_r3,155,perf_20260923-234455_p2_c2_r3,1,72,1790199896611,0,1790199934901.734,38.905,46.866,1790199934987.504,Normal,0.9005
WIX,16640,20260923-234455_p2_c2_r3,157,perf_20260923-234455_p2_c2_r3,1,73,1790199896611,0,1790199934987.504,62.991,50.973,1790199935102.514,Normal,0.9679
WIX,16640,20260923-234455_p2_c2_r3,159,perf_20260923-234455_p2_c2_r3,1,74,1790199896611,0,1790199935102.514,42.952,49.733,1790199935195.2,Normal,0.8903
WIX,16640,20260923-234455_p2_c2_r3,160,perf_20260923-234455_p2_c2_r3,1,75,1790199896611,0,1790199935195.2,42.475,44.628,1790199935283.141,Normal,0.6424
WIX,16640,20260923-234455_p2_c2_r3,163,perf_20260923-234455_p2_c2_r3,1,76,1790199896611,0,1790199935283.141,33.611,53.393,1790199935370.978,Normal,0.9591
WIX,16640,20260923-234455_p2_c2_r3,164,perf_20260923-234455_p2_c2_r3,1,77,1790199896611,0,1790199935371.984,73.882,44.475,1790199935490.34,Normal,0.9336
WIX,16640,20260923-234455_p2_c2_r3,166,perf_20260923-234455_p2_c2_r3,1,78,1790199896611,0,1790199935492.365,54.331,50.147,1790199935596.842,Normal,0.9626
WIX,16640,20260923-234455_p2_c2_r3,168,perf_20260923-234455_p2_c2_r3,1,79,1790199896611,0,1790199935596.842,48.837,48.795,1790199935695.515,Normal,0.8523
WIX,16640,20260923-234455_p2_c2_r3,170,perf_20260923-234455_p2_c2_r3,1,80,1790199896613,0,1790199935695.515,41.62,49.65,1790199935787.793,Normal,0.9651
WIX,16640,20260923-234455_p2_c2_r3,172,perf_20260923-234455_p2_c2_r3,1,81,1790199896613,0,1790199935788.793,37.614,49.148,1790199935876.552,Normal,0.6914
WIX,16640,20260923-234455_p2_c2_r3,173,perf_20260923-234455_p2_c2_r3,1,82,1790199896613,0,1790199935876.552,37.322,46.261,1790199935960.135,Normal,0.9493
WIX,16640,20260923-234455_p2_c2_r3,174,perf_20260923-234455_p2_c2_r3,1,83,1790199896613,0,1790199935961.132,30.826,43.141,1790199936035.099,Normal,0.9135
WIX,16640,20260923-234455_p2_c2_r3,177,perf_20260923-234455_p2_c2_r3,1,84,1790199896613,0,1790199936035.099,32.875,45.877,1790199936115.372,Normal,0.9156
WIX,16640,20260923-234455_p2_c2_r3,178,perf_20260923-234455_p2_c2_r3,1,85,1790199896613,0,1790199936115.372,45.172,44.887,1790199936206.437,Normal,0.4923
WIX,16640,20260923-234455_p2_c2_r3,179,perf_20260923-234455_p2_c2_r3,1,86,1790199896613,0,1790199936206.437,28.234,46.792,1790199936282.416,Normal,0.9672
WIX,16640,20260923-234455_p2_c2_r3,180,perf_20260923-234455_p2_c2_r3,1,87,1790199896613,0,1790199936282.416,62.571,46.787,1790199936392.335,Normal,0.6954
WIX,16640,20260923-234455_p2_c2_r3,183,perf_20260923-234455_p2_c2_r3,1,88,1790199896613,0,1790199936392.335,39.864,47.521,1790199936479.72,Normal,0.9708
WIX,16640,20260923-234455_p2_c2_r3,184,perf_20260923-234455_p2_c2_r3,1,89,1790199896614,0,1790199936480.756,45.686,43.996,1790199936570.438,Normal,0.9685
WIX,16640,20260923-234455_p2_c2_r3,187,perf_20260923-234455_p2_c2_r3,1,90,1790199896614,0,1790199936570.438,37.14,48.843,1790199936656.421,Normal,0.9594
WIX,16640,20260923-234455_p2_c2_r3,188,perf_20260923-234455_p2_c2_r3,1,91,1790199896614,0,1790199936656.421,36.585,46.285,1790199936739.291,Normal,0.9731
WIX,16640,20260923-234455_p2_c2_r3,191,perf_20260923-234455_p2_c2_r3,1,92,1790199896614,0,1790199936739.291,27.985,47.522,1790199936815.792,Normal,0.9336
WIX,16640,20260923-234455_p2_c2_r3,193,perf_20260923-234455_p2_c2_r3,1,93,1790199896614,0,1790199936815.792,29.129,41.684,1790199936887.585,Normal,0.9526
WIX,16640,20260923-234455_p2_c2_r3,194,perf_20260923-234455_p2_c2_r3,1,94,1790199896614,0,1790199936888.584,27.158,49.085,1790199936964.827,Normal,0.9401
WIX,16640,20260923-234455_p2_c2_r3,197,perf_20260923-234455_p2_c2_r3,1,95,1790199896614,0,1790199936965.351,34.93,43.319,1790199937044.592,Normal,0.954
WIX,16640,20260923-234455_p2_c2_r3,206,perf_20260923-234455_p2_c2_r3,1,96,1790199896614,0,1790199937044.592,25.65,42.979,1790199937114.216,Normal,0.9386
WIX,16640,20260923-234455_p2_c2_r3,208,perf_20260923-234455_p2_c2_r3,1,97,1790199896615,0,1790199937115.722,29.588,47.004,1790199937192.314,Normal,0.9463
WIX,16640,20260923-234455_p2_c2_r3,209,perf_20260923-234455_p2_c2_r3,1,98,1790199896615,0,1790199937192.314,57.693,43.332,1790199937294.337,Normal,0.745
WIX,16640,20260923-234455_p2_c2_r3,210,perf_20260923-234455_p2_c2_r3,1,99,1790199896615,0,1790199937294.9,35.757,45.508,1790199937377.713,Normal,0.958
WIX,16640,20260923-234455_p2_c2_r3,211,perf_20260923-234455_p2_c2_r3,1,100,1790199896615,0,1790199937377.713,26.651,45.05,1790199937449.414,Normal,0.9386
WIX,16640,20260923-234455_p2_c2_r3,212,perf_20260923-234455_p2_c2_r3,1,101,1790199896615,0,1790199937450.411,34.762,46.149,1790199937532.283,Normal,0.9407
