time,host_cpu_%,host_ram_%,gpu_mem_MB,gpu_util_%,docker
14:55:58,0.0,59.6,170,5,kafka=0.69%/551MiB / 4.804GiB ; elasticsearch=0.37%/1.524GiB / 4.804GiB ; zookeeper=0.13%/98.7MiB / 4.804GiB
14:56:02,59.0,69.0,171,2,kafka=1.11%/551MiB / 4.804GiB ; elasticsearch=1.72%/1.524GiB / 4.804GiB ; zookeeper=0.21%/98.95MiB / 4.804GiB
14:56:07,72.4,70.5,174,2,kafka=1.05%/551MiB / 4.804GiB ; elasticsearch=1.91%/1.524GiB / 4.804GiB ; zookeeper=0.12%/98.7MiB / 4.804GiB
14:56:11,57.7,74.1,173,2,kafka=3.05%/551MiB / 4.804GiB ; elasticsearch=2.55%/1.524GiB / 4.804GiB ; zookeeper=0.15%/98.71MiB / 4.804GiB
14:56:15,23.8,74.6,165,2,kafka=44.94%/578.5MiB / 4.804GiB ; elasticsearch=0.49%/1.524GiB / 4.804GiB ; zookeeper=0.14%/98.7MiB / 4.804GiB
14:56:20,21.1,77.3,161,2,kafka=8.37%/551.2MiB / 4.804GiB ; elasticsearch=23.97%/1.525GiB / 4.804GiB ; zookeeper=0.66%/98.7MiB / 4.804GiB
14:56:24,31.3,78.0,164,4,kafka=38.36%/551.6MiB / 4.804GiB ; elasticsearch=7.93%/1.525GiB / 4.804GiB ; zookeeper=0.60%/98.7MiB / 4.804GiB
14:56:29,23.3,78.3,164,2,kafka=3.90%/550.9MiB / 4.804GiB ; elasticsearch=6.54%/1.525GiB / 4.804GiB ; zookeeper=0.48%/98.53MiB / 4.804GiB
14:56:32,21.4,78.5,155,2,kafka=3.47%/551MiB / 4.804GiB ; elasticsearch=6.95%/1.525GiB / 4.804GiB ; zookeeper=0.55%/98.53MiB / 4.804GiB
14:56:37,22.2,78.6,156,1,kafka=36.59%/574.9MiB / 4.804GiB ; elasticsearch=7.57%/1.53GiB / 4.804GiB ; zookeeper=0.59%/98.53MiB / 4.804GiB
14:56:41,40.0,79.4,159,8,kafka=5.98%/551.8MiB / 4.804GiB ; elasticsearch=55.82%/1.53GiB / 4.804GiB ; zookeeper=0.29%/98.53MiB / 4.804GiB
14:56:46,95.3,83.1,186,4,kafka=7.07%/551.9MiB / 4.804GiB ; elasticsearch=10.92%/1.53GiB / 4.804GiB ; zookeeper=0.20%/98.53MiB / 4.804GiB
14:56:55,96.1,85.9,221,17,kafka=233.51%/616.5MiB / 4.804GiB ; elasticsearch=77.03%/1.53GiB / 4.804GiB ; zookeeper=0.26%/98.53MiB / 4.804GiB
14:57:02,100.0,92.1,238,2,kafka=4.19%/552MiB / 4.804GiB ; elasticsearch=22.47%/1.53GiB / 4.804GiB ; zookeeper=0.93%/98.53MiB / 4.804GiB
14:57:09,100.0,96.0,243,12,kafka=168.65%/592.5MiB / 4.804GiB ; elasticsearch=32.41%/1.53GiB / 4.804GiB ; zookeeper=0.29%/98.53MiB / 4.804GiB
14:57:15,100.0,97.8,212,23,kafka=5.27%/552MiB / 4.804GiB ; elasticsearch=81.49%/1.531GiB / 4.804GiB ; zookeeper=0.21%/98.57MiB / 4.804GiB
14:57:20,100.0,95.1,190,16,kafka=4.58%/552.1MiB / 4.804GiB ; elasticsearch=11.53%/1.53GiB / 4.804GiB ; zookeeper=0.26%/98.56MiB / 4.804GiB
14:57:25,95.1,96.9,185,33,kafka=175.17%/602.3MiB / 4.804GiB ; elasticsearch=17.50%/1.53GiB / 4.804GiB ; zookeeper=0.20%/98.57MiB / 4.804GiB
14:57:29,76.6,96.1,183,30,kafka=4.26%/552.4MiB / 4.804GiB ; elasticsearch=14.70%/1.53GiB / 4.804GiB ; zookeeper=0.25%/98.56MiB / 4.804GiB
14:57:34,58.3,94.0,183,30,kafka=4.58%/552.4MiB / 4.804GiB ; elasticsearch=9.46%/1.531GiB / 4.804GiB ; zookeeper=0.23%/98.56MiB / 4.804GiB
14:57:39,51.5,93.7,183,23,kafka=178.85%/626.3MiB / 4.804GiB ; elasticsearch=9.42%/1.53GiB / 4.804GiB ; zookeeper=0.63%/98.56MiB / 4.804GiB
14:57:43,55.2,93.4,183,26,kafka=4.90%/552.6MiB / 4.804GiB ; elasticsearch=4.56%/1.53GiB / 4.804GiB ; zookeeper=1.19%/98.57MiB / 4.804GiB
14:57:47,32.2,93.2,202,25,kafka=6.07%/552.4MiB / 4.804GiB ; elasticsearch=4.91%/1.53GiB / 4.804GiB ; zookeeper=0.19%/98.57MiB / 4.804GiB
14:57:52,48.9,93.0,204,25,kafka=101.50%/627MiB / 4.804GiB ; elasticsearch=7.64%/1.53GiB / 4.804GiB ; zookeeper=0.20%/98.57MiB / 4.804GiB
14:57:56,62.7,93.6,187,29,kafka=5.10%/552.5MiB / 4.804GiB ; elasticsearch=5.07%/1.53GiB / 4.804GiB ; zookeeper=0.18%/98.57MiB / 4.804GiB
14:58:00,37.2,93.3,189,30,kafka=4.35%/553.1MiB / 4.804GiB ; elasticsearch=5.07%/1.53GiB / 4.804GiB ; zookeeper=0.15%/98.56MiB / 4.804GiB
