node,pid,run_id,seq,topic,partition,offset,kafka_ts_ms,kafka_ts_type,t_recv_ms,infer_ms,es_ms,t_done_ms,label,confidence
WIX,24292,20260925-145555_p4_c4_r1,4,perf_20260925-145555_p4_c4_r1,1,0,1790340975710,0,1790340976141.175,613.587,1097.106,1790340977851.868,Normal,0.9588
WIX,24292,20260925-145555_p4_c4_r1,16,perf_20260925-145555_p4_c4_r1,1,1,1790340976368,0,1790340977855.892,50.711,13.043,1790340977921.006,Normal,0.9747
WIX,24292,20260925-145555_p4_c4_r1,24,perf_20260925-145555_p4_c4_r1,1,2,1790340976821,0,1790340977922.007,80.372,53.515,1790340978055.893,Normal,0.9411
WIX,24292,20260925-145555_p4_c4_r1,25,perf_20260925-145555_p4_c4_r1,1,3,1790340976867,0,1790340978056.946,63.703,52.067,1790340978173.705,Normal,0.6054
WIX,24292,20260925-145555_p4_c4_r1,29,perf_20260925-145555_p4_c4_r1,1,4,1790340977102,0,1790340978173.705,78.664,51.16,1790340978304.525,Normal,0.9553
WIX,24292,20260925-145555_p4_c4_r1,40,perf_20260925-145555_p4_c4_r1,1,5,1790340977708,0,1790340978305.527,34.798,54.75,1790340978395.075,Normal,0.9018
WIX,24292,20260925-145555_p4_c4_r1,46,perf_20260925-145555_p4_c4_r1,1,6,1790340978033,0,1790340978399.088,58.451,53.892,1790340978512.433,Normal,0.8951
WIX,24292,20260925-145555_p4_c4_r1,57,perf_20260925-145555_p4_c4_r1,1,7,1790340978645,0,1790340978653.942,86.67,50.351,1790340978791.51,Normal,0.5773
WIX,24292,20260925-145555_p4_c4_r1,59,perf_20260925-145555_p4_c4_r1,1,8,1790340978768,0,1790340978796.501,92.724,49.412,1790340978939.279,Normal,0.9787
WIX,24292,20260925-145555_p4_c4_r1,65,perf_20260925-145555_p4_c4_r1,1,9,1790340979099,0,1790340979102.546,67.222,48.606,1790340979218.374,Normal,0.963
WIX,24292,20260925-145555_p4_c4_r1,73,perf_20260925-145555_p4_c4_r1,1,10,1790340979539,0,1790340979545.383,68.371,46.674,1790340979660.428,Normal,0.9591
WIX,24292,20260925-145555_p4_c4_r1,75,perf_20260925-145555_p4_c4_r1,1,11,1790340979647,0,1790340979663.426,32.169,50.096,1790340979746.684,Normal,0.8729
WIX,24292,20260925-145555_p4_c4_r1,77,perf_20260925-145555_p4_c4_r1,1,12,1790340979756,0,1790340979759.277,29.0,49.034,1790340979838.306,OFFENSIVE,0.8247
WIX,24292,20260925-145555_p4_c4_r1,78,perf_20260925-145555_p4_c4_r1,1,13,1790340979819,0,1790340979842.307,39.564,47.935,1790340979930.803,Normal,0.9429
WIX,24292,20260925-145555_p4_c4_r1,81,perf_20260925-145555_p4_c4_r1,1,14,1790340979991,0,1790340979994.057,56.159,47.711,1790340980098.926,OFFENSIVE,0.7918
WIX,24292,20260925-145555_p4_c4_r1,84,perf_20260925-145555_p4_c4_r1,1,15,1790340980148,0,1790340980151.462,37.921,46.642,1790340980237.396,Normal,0.9755
