time,host_cpu_%,host_ram_%,gpu_mem_MB,gpu_util_%,docker
12:55:27,14.0,71.2,538,29,kafka=0.68%/538.9MiB / 4.804GiB ; elasticsearch=4.30%/1.515GiB / 4.804GiB ; zookeeper=0.12%/91.21MiB / 4.804GiB
12:55:31,10.7,71.2,538,30,kafka=99.76%/582.6MiB / 4.804GiB ; elasticsearch=2.33%/1.515GiB / 4.804GiB ; zookeeper=0.09%/91.21MiB / 4.804GiB
12:55:35,17.7,71.3,533,32,kafka=0.86%/538.9MiB / 4.804GiB ; elasticsearch=3.13%/1.514GiB / 4.804GiB ; zookeeper=0.11%/91.21MiB / 4.804GiB
12:55:39,11.7,71.1,537,29,kafka=0.62%/538.9MiB / 4.804GiB ; elasticsearch=2.78%/1.515GiB / 4.804GiB ; zookeeper=0.48%/91.21MiB / 4.804GiB
12:55:44,17.8,71.2,537,28,kafka=0.96%/538.9MiB / 4.804GiB ; elasticsearch=2.71%/1.514GiB / 4.804GiB ; zookeeper=0.12%/91.21MiB / 4.804GiB
12:55:48,15.3,71.2,536,30,kafka=0.66%/538.9MiB / 4.804GiB ; elasticsearch=2.58%/1.515GiB / 4.804GiB ; zookeeper=0.52%/91.21MiB / 4.804GiB
12:55:53,12.9,71.2,536,28,kafka=50.93%/538.9MiB / 4.804GiB ; elasticsearch=2.17%/1.514GiB / 4.804GiB ; zookeeper=0.08%/91.21MiB / 4.804GiB
12:55:57,20.6,71.2,534,28,kafka=0.76%/539.2MiB / 4.804GiB ; elasticsearch=2.58%/1.514GiB / 4.804GiB ; zookeeper=0.12%/91.21MiB / 4.804GiB
12:56:01,12.2,71.2,537,30,kafka=0.75%/538.9MiB / 4.804GiB ; elasticsearch=2.87%/1.515GiB / 4.804GiB ; zookeeper=0.10%/91.21MiB / 4.804GiB
12:56:05,23.7,71.4,538,32,kafka=0.67%/539MiB / 4.804GiB ; elasticsearch=2.52%/1.515GiB / 4.804GiB ; zookeeper=0.12%/91.21MiB / 4.804GiB
12:56:10,12.5,71.2,537,30,kafka=0.79%/539MiB / 4.804GiB ; elasticsearch=2.54%/1.515GiB / 4.804GiB ; zookeeper=0.11%/91.21MiB / 4.804GiB
12:56:14,11.5,71.2,539,28,kafka=149.91%/616.7MiB / 4.804GiB ; elasticsearch=2.23%/1.515GiB / 4.804GiB ; zookeeper=0.10%/91.21MiB / 4.804GiB
