node,pid,run_id,seq,topic,partition,offset,kafka_ts_ms,kafka_ts_type,t_recv_ms,infer_ms,es_ms,t_done_ms,label,confidence
WIX,16092,20260925-125301_p1_c1_cuda_r2,0,perf_20260925-125301_p1_c1_cuda_r2,0,0,1790333583259,0,1790333600297.348,218.923,285.24,1790333600802.066,Normal,0.9501
WIX,16092,20260925-125301_p1_c1_cuda_r2,1,perf_20260925-125301_p1_c1_cuda_r2,0,1,1790333583259,0,1790333600802.066,21.953,5.014,1790333600829.033,Normal,0.9452
WIX,16092,20260925-125301_p1_c1_cuda_r2,2,perf_20260925-125301_p1_c1_cuda_r2,0,2,1790333583259,0,1790333600830.033,7.524,50.195,1790333600888.747,Normal,0.9403
WIX,16092,20260925-125301_p1_c1_cuda_r2,3,perf_20260925-125301_p1_c1_cuda_r2,0,3,1790333583259,0,1790333600889.744,7.523,50.703,1790333600947.97,Normal,0.9685
WIX,16092,20260925-125301_p1_c1_cuda_r2,4,perf_20260925-125301_p1_c1_cuda_r2,0,4,1790333583259,0,1790333600947.97,7.311,46.54,1790333601002.375,Normal,0.9588
WIX,16092,20260925-125301_p1_c1_cuda_r2,5,perf_20260925-125301_p1_c1_cuda_r2,0,5,1790333583260,0,1790333601002.375,10.041,44.636,1790333601058.01,OFFENSIVE,0.5445
WIX,16092,20260925-125301_p1_c1_cuda_r2,6,perf_20260925-125301_p1_c1_cuda_r2,0,6,1790333583260,0,1790333601059.017,8.994,45.376,1790333601113.387,Normal,0.9157
WIX,16092,20260925-125301_p1_c1_cuda_r2,7,perf_20260925-125301_p1_c1_cuda_r2,0,7,1790333583260,0,1790333601113.387,8.116,48.298,1790333601170.8,Normal,0.9439
WIX,16092,20260925-125301_p1_c1_cuda_r2,8,perf_20260925-125301_p1_c1_cuda_r2,0,8,1790333583260,0,1790333601171.797,12.074,45.731,1790333601230.471,Normal,0.8636
WIX,16092,20260925-125301_p1_c1_cuda_r2,9,perf_20260925-125301_p1_c1_cuda_r2,0,9,1790333583260,0,1790333601230.471,14.045,47.757,1790333601293.273,Normal,0.9297
WIX,16092,20260925-125301_p1_c1_cuda_r2,10,perf_20260925-125301_p1_c1_cuda_r2,0,10,1790333583260,0,1790333601294.284,10.558,45.403,1790333601350.245,Normal,0.8199
