node,pid,run_id,seq,topic,partition,offset,kafka_ts_ms,kafka_ts_type,t_recv_ms,infer_ms,es_ms,t_done_ms,label,confidence
WIX,3912,20260925-123505_p1_c1_cuda_r1,0,perf_20260925-123505_p1_c1_cuda_r1,0,0,1790332506639,0,1790332522708.212,642.12,340.616,1790332523691.283,Normal,0.9157
WIX,3912,20260925-123505_p1_c1_cuda_r1,1,perf_20260925-123505_p1_c1_cuda_r1,0,1,1790332506639,0,1790332523692.79,9.09,7.009,1790332523708.889,Normal,0.9297
WIX,3912,20260925-123505_p1_c1_cuda_r1,2,perf_20260925-123505_p1_c1_cuda_r1,0,2,1790332506639,0,1790332523708.889,11.27,53.769,1790332523773.927,Normal,0.9406
WIX,3912,20260925-123505_p1_c1_cuda_r1,3,perf_20260925-123505_p1_c1_cuda_r1,0,3,1790332506639,0,1790332523773.927,29.06,44.06,1790332523848.049,Normal,0.6054
WIX,3912,20260925-123505_p1_c1_cuda_r1,4,perf_20260925-123505_p1_c1_cuda_r1,0,4,1790332506639,0,1790332523849.05,14.008,45.128,1790332523909.185,Normal,0.9553
WIX,3912,20260925-123505_p1_c1_cuda_r1,5,perf_20260925-123505_p1_c1_cuda_r1,0,5,1790332506640,0,1790332523909.185,12.01,48.307,1790332523970.5,Normal,0.9605
WIX,3912,20260925-123505_p1_c1_cuda_r1,6,perf_20260925-123505_p1_c1_cuda_r1,0,6,1790332506640,0,1790332523971.501,12.092,46.891,1790332524031.023,Normal,0.9018
WIX,3912,20260925-123505_p1_c1_cuda_r1,7,perf_20260925-123505_p1_c1_cuda_r1,0,7,1790332506640,0,1790332524031.561,18.262,50.816,1790332524101.196,Normal,0.9516
WIX,3912,20260925-123505_p1_c1_cuda_r1,8,perf_20260925-123505_p1_c1_cuda_r1,0,8,1790332506640,0,1790332524101.196,13.529,46.319,1790332524162.04,Normal,0.8797
WIX,3912,20260925-123505_p1_c1_cuda_r1,9,perf_20260925-123505_p1_c1_cuda_r1,0,9,1790332506640,0,1790332524163.04,15.519,48.698,1790332524228.26,Normal,0.7349
WIX,3912,20260925-123505_p1_c1_cuda_r1,10,perf_20260925-123505_p1_c1_cuda_r1,0,10,1790332506640,0,1790332524228.26,14.058,49.644,1790332524291.962,Normal,0.9547
WIX,3912,20260925-123505_p1_c1_cuda_r1,11,perf_20260925-123505_p1_c1_cuda_r1,0,11,1790332506640,0,1790332524291.962,9.504,48.672,1790332524350.138,Normal,0.9547
WIX,3912,20260925-123505_p1_c1_cuda_r1,12,perf_20260925-123505_p1_c1_cuda_r1,0,12,1790332506640,0,1790332524351.142,7.997,47.445,1790332524407.586,Normal,0.9656
WIX,3912,20260925-123505_p1_c1_cuda_r1,13,perf_20260925-123505_p1_c1_cuda_r1,0,13,1790332506640,0,1790332524407.586,7.727,51.572,1790332524466.884,Normal,0.9375
WIX,3912,20260925-123505_p1_c1_cuda_r1,14,perf_20260925-123505_p1_c1_cuda_r1,0,14,1790332506640,0,1790332524467.886,7.539,49.824,1790332524525.249,Normal,0.8164
WIX,3912,20260925-123505_p1_c1_cuda_r1,15,perf_20260925-123505_p1_c1_cuda_r1,0,15,1790332506640,0,1790332524525.249,7.518,45.164,1790332524578.5,Normal,0.9603
