time,host_cpu_%,host_ram_%,gpu_mem_MB,gpu_util_%,docker
22:42:52,12.5,90.7,168,2,kafka=0.69%/475MiB / 4.804GiB ; elasticsearch=0.58%/1.494GiB / 4.804GiB ; zookeeper=0.11%/88.27MiB / 4.804GiB
22:42:56,24.1,93.9,172,2,kafka=0.75%/474.7MiB / 4.804GiB ; elasticsearch=0.65%/1.494GiB / 4.804GiB ; zookeeper=0.10%/88.26MiB / 4.804GiB
22:43:01,21.1,95.0,162,2,kafka=1.41%/475MiB / 4.804GiB ; elasticsearch=0.74%/1.494GiB / 4.804GiB ; zookeeper=0.13%/88.27MiB / 4.804GiB
22:43:05,6.3,96.3,164,1,kafka=73.56%/475.1MiB / 4.804GiB ; elasticsearch=8.33%/1.495GiB / 4.804GiB ; zookeeper=0.11%/88.23MiB / 4.804GiB
22:43:10,22.0,96.4,161,1,kafka=0.87%/475.1MiB / 4.804GiB ; elasticsearch=8.26%/1.496GiB / 4.804GiB ; zookeeper=0.69%/88.23MiB / 4.804GiB
22:43:14,10.9,96.4,159,3,kafka=1.02%/475.1MiB / 4.804GiB ; elasticsearch=38.45%/1.502GiB / 4.804GiB ; zookeeper=0.55%/88.23MiB / 4.804GiB
22:43:19,21.8,96.8,160,5,kafka=0.89%/475.1MiB / 4.804GiB ; elasticsearch=13.09%/1.495GiB / 4.804GiB ; zookeeper=0.51%/88.23MiB / 4.804GiB
22:43:23,12.1,96.4,159,5,kafka=0.88%/475.1MiB / 4.804GiB ; elasticsearch=8.27%/1.496GiB / 4.804GiB ; zookeeper=0.11%/88.23MiB / 4.804GiB
22:43:27,19.1,96.5,162,5,kafka=93.89%/475.1MiB / 4.804GiB ; elasticsearch=14.21%/1.496GiB / 4.804GiB ; zookeeper=0.64%/88.19MiB / 4.804GiB
22:43:31,18.5,96.4,162,1,kafka=0.89%/475.1MiB / 4.804GiB ; elasticsearch=4.79%/1.496GiB / 4.804GiB ; zookeeper=0.13%/88.19MiB / 4.804GiB
22:43:35,13.4,96.9,151,2,kafka=1.19%/475.1MiB / 4.804GiB ; elasticsearch=5.13%/1.497GiB / 4.804GiB ; zookeeper=0.11%/88.19MiB / 4.804GiB
22:43:40,19.5,97.1,162,1,kafka=0.81%/475.1MiB / 4.804GiB ; elasticsearch=8.23%/1.497GiB / 4.804GiB ; zookeeper=0.11%/88.19MiB / 4.804GiB
22:43:44,10.9,96.8,151,3,kafka=0.66%/475.1MiB / 4.804GiB ; elasticsearch=4.62%/1.497GiB / 4.804GiB ; zookeeper=0.12%/88.2MiB / 4.804GiB
22:43:49,13.4,96.9,162,6,kafka=144.10%/531.6MiB / 4.804GiB ; elasticsearch=7.24%/1.498GiB / 4.804GiB ; zookeeper=0.59%/88.2MiB / 4.804GiB
22:43:53,20.6,97.1,152,5,kafka=0.79%/476.2MiB / 4.804GiB ; elasticsearch=5.92%/1.498GiB / 4.804GiB ; zookeeper=0.12%/88.2MiB / 4.804GiB
22:43:57,16.5,96.8,155,6,kafka=0.67%/475.9MiB / 4.804GiB ; elasticsearch=6.10%/1.498GiB / 4.804GiB ; zookeeper=0.12%/88.2MiB / 4.804GiB
22:44:01,21.9,97.0,155,2,kafka=0.73%/475.7MiB / 4.804GiB ; elasticsearch=9.35%/1.513GiB / 4.804GiB ; zookeeper=0.11%/88.12MiB / 4.804GiB
22:44:05,14.1,97.0,151,2,kafka=0.96%/475.7MiB / 4.804GiB ; elasticsearch=5.56%/1.513GiB / 4.804GiB ; zookeeper=0.14%/88.12MiB / 4.804GiB
22:44:10,13.2,96.9,162,2,kafka=176.21%/544.1MiB / 4.804GiB ; elasticsearch=3.32%/1.498GiB / 4.804GiB ; zookeeper=0.46%/88.12MiB / 4.804GiB
22:44:14,16.5,97.1,154,2,kafka=0.76%/476.7MiB / 4.804GiB ; elasticsearch=8.36%/1.498GiB / 4.804GiB ; zookeeper=0.10%/88.12MiB / 4.804GiB
22:44:19,13.3,96.9,161,5,kafka=0.75%/476.7MiB / 4.804GiB ; elasticsearch=4.30%/1.498GiB / 4.804GiB ; zookeeper=0.46%/88.12MiB / 4.804GiB
22:44:23,17.4,97.0,150,6,kafka=0.88%/476.7MiB / 4.804GiB ; elasticsearch=7.83%/1.498GiB / 4.804GiB ; zookeeper=0.52%/88.14MiB / 4.804GiB
22:44:27,13.6,96.8,154,6,kafka=0.80%/476.7MiB / 4.804GiB ; elasticsearch=3.40%/1.498GiB / 4.804GiB ; zookeeper=0.34%/88.14MiB / 4.804GiB
22:44:31,18.8,97.1,154,2,kafka=168.61%/550.9MiB / 4.804GiB ; elasticsearch=3.71%/1.498GiB / 4.804GiB ; zookeeper=0.12%/88.14MiB / 4.804GiB
22:44:35,18.3,97.5,149,2,kafka=1.17%/476.9MiB / 4.804GiB ; elasticsearch=5.18%/1.498GiB / 4.804GiB ; zookeeper=0.11%/88.14MiB / 4.804GiB
22:44:40,12.0,97.2,157,2,kafka=0.73%/476.7MiB / 4.804GiB ; elasticsearch=6.78%/1.498GiB / 4.804GiB ; zookeeper=0.11%/88.14MiB / 4.804GiB
22:44:44,18.2,97.4,148,1,kafka=0.91%/476.7MiB / 4.804GiB ; elasticsearch=3.60%/1.498GiB / 4.804GiB ; zookeeper=0.12%/88.14MiB / 4.804GiB
22:44:49,13.1,97.4,160,4,kafka=1.73%/476.7MiB / 4.804GiB ; elasticsearch=4.42%/1.499GiB / 4.804GiB ; zookeeper=0.10%/88.14MiB / 4.804GiB
22:44:53,15.4,97.2,150,7,kafka=96.89%/517.1MiB / 4.804GiB ; elasticsearch=33.72%/1.504GiB / 4.804GiB ; zookeeper=0.11%/88.14MiB / 4.804GiB
22:44:57,20.7,97.4,153,7,kafka=0.67%/477.2MiB / 4.804GiB ; elasticsearch=3.86%/1.504GiB / 4.804GiB ; zookeeper=0.12%/88.14MiB / 4.804GiB
22:45:01,10.5,97.3,153,2,kafka=0.77%/477.2MiB / 4.804GiB ; elasticsearch=10.22%/1.505GiB / 4.804GiB ; zookeeper=0.83%/88.14MiB / 4.804GiB
22:45:05,20.1,97.7,148,2,kafka=1.05%/476.9MiB / 4.804GiB ; elasticsearch=4.52%/1.504GiB / 4.804GiB ; zookeeper=0.64%/88.16MiB / 4.804GiB
22:45:10,14.4,97.4,157,2,kafka=0.90%/476.9MiB / 4.804GiB ; elasticsearch=3.22%/1.509GiB / 4.804GiB ; zookeeper=0.11%/88.16MiB / 4.804GiB
22:45:14,11.8,97.3,149,5,kafka=0.91%/477.1MiB / 4.804GiB ; elasticsearch=5.43%/1.503GiB / 4.804GiB ; zookeeper=0.12%/88.16MiB / 4.804GiB
22:45:19,23.2,97.5,159,8,kafka=1.00%/477.4MiB / 4.804GiB ; elasticsearch=13.79%/1.509GiB / 4.804GiB ; zookeeper=0.50%/88.16MiB / 4.804GiB
22:45:23,11.2,97.4,149,3,kafka=1.19%/477.6MiB / 4.804GiB ; elasticsearch=3.74%/1.509GiB / 4.804GiB ; zookeeper=0.21%/88.16MiB / 4.804GiB
22:45:27,19.7,97.4,154,3,kafka=0.89%/477.4MiB / 4.804GiB ; elasticsearch=3.65%/1.509GiB / 4.804GiB ; zookeeper=0.11%/88.16MiB / 4.804GiB
22:45:31,13.5,97.4,154,2,kafka=0.97%/477.4MiB / 4.804GiB ; elasticsearch=4.45%/1.509GiB / 4.804GiB ; zookeeper=0.12%/88.16MiB / 4.804GiB
22:45:35,18.6,97.5,149,1,kafka=6.90%/486.9MiB / 4.804GiB ; elasticsearch=3.40%/1.509GiB / 4.804GiB ; zookeeper=0.10%/88.16MiB / 4.804GiB
22:45:40,21.3,97.6,157,2,kafka=0.90%/477.4MiB / 4.804GiB ; elasticsearch=3.15%/1.509GiB / 4.804GiB ; zookeeper=0.11%/88.1MiB / 4.804GiB
22:45:44,11.9,97.1,149,5,kafka=1.29%/477.4MiB / 4.804GiB ; elasticsearch=6.76%/1.508GiB / 4.804GiB ; zookeeper=0.22%/88.1MiB / 4.804GiB
22:45:49,19.2,97.4,163,8,kafka=82.91%/477.4MiB / 4.804GiB ; elasticsearch=52.53%/1.509GiB / 4.804GiB ; zookeeper=0.11%/88.1MiB / 4.804GiB
22:45:53,16.8,97.0,153,2,kafka=0.63%/477.4MiB / 4.804GiB ; elasticsearch=9.77%/1.509GiB / 4.804GiB ; zookeeper=0.13%/88.1MiB / 4.804GiB
22:45:57,14.2,97.1,161,2,kafka=2.45%/479.4MiB / 4.804GiB ; elasticsearch=5.82%/1.508GiB / 4.804GiB ; zookeeper=0.13%/88.1MiB / 4.804GiB
22:46:02,21.3,97.5,161,2,kafka=0.63%/477.6MiB / 4.804GiB ; elasticsearch=3.89%/1.509GiB / 4.804GiB ; zookeeper=0.24%/88.1MiB / 4.804GiB
